Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
LBRDK,Liberty Broadband Corporation Class C Common Stock,$162.45,-9.11,-5.31%,29536896502.00,United States,,1315791,Consumer Services,Television Services
LBTYA,Liberty Global plc Class A Ordinary Shares,$28.74,0.10,0.349%,15966561951.00,United Kingdom,,825707,Consumer Services,Television Services
LBTYB,Liberty Global plc Class B Ordinary Shares,$28.54,0.00,0.00%,15855451568.00,United Kingdom,,165,Consumer Services,Television Services
LBTYK,Liberty Global plc Class C Ordinary Shares,$28.84,0.12,0.418%,16022117142.00,United Kingdom,,1786986,Consumer Services,Television Services
LCID,Lucid Group Inc. Common Stock,$36.99,1.51,4.256%,59841079596.00,United States,,220607888,Capital Goods,Auto Manufacturing
LFUS,Littelfuse Inc. Common Stock,$294.55,1.55,0.529%,14501955407.00,United States,,105587,Technology,Electronic Components
LI,Li Auto Inc. American Depositary Shares,$32.63,-0.78,-2.335%,33702146914.00,China,2020,3986887,Capital Goods,Auto Manufacturing
LKQ,LKQ Corporation Common Stock,$55.08,-1.27,-2.254%,16186655049.00,United States,,1685467,Capital Goods,Automotive Aftermarket
LNT,Alliant Energy Corporation Common Stock,$56.57,0.1325,0.235%,14157086914.00,United States,,1374949,Public Utilities,Power Generation
LOGI,Logitech International S.A. Ordinary Shares,$83.03,-1.27,-1.507%,13930358250.00,United States,1997,626631,Technology,Computer peripheral equipment
LPLA,LPL Financial Holdings Inc. Common Stock,$164.02,-10.71,-6.129%,13161872323.00,United States,2010,1020453,Finance,Investment Bankers/Brokers/Service
LRCX,Lam Research Corporation Common Stock,$563.57,-2.38,-0.421%,79349921668.00,United States,1984,1338095,Technology,Industrial Machinery/Components
LSXMA,Liberty Media Corporation Series A Liberty SiriusXM Common Stock,$49.78,-0.02,-0.04%,16548099425.00,United States,,544921,Consumer Services,Broadcasting
LSXMB,Liberty Media Corporation Series B Liberty SiriusXM Common Stock,$48.81,0.00,0.00%,16225647508.00,United States,,10,Consumer Services,Broadcasting
LSXMK,Liberty Media Corporation Series C Liberty SiriusXM Common Stock,$49.32,-0.22,-0.444%,16395184083.00,United States,,845868,Consumer Services,Broadcasting
LULU,lululemon athletica inc. Common Stock,$466.01,22.55,5.085%,60494408241.00,Canada,2007,1345288,,
LYFT,Lyft Inc. Class A Common Stock,$45.87,-1.05,-2.238%,15379033425.00,United States,2019,4135041,Technology,EDP Services
MANH,Manhattan Associates Inc. Common Stock,$181.54,0.42,0.232%,11488170166.00,United States,1998,358526,Technology,Computer Software: Prepackaged Software
MAR,Marriott International Class A Common Stock,$160.02,0.05,0.031%,52111531047.00,United States,,2023126,Consumer Services,Hotels/Resorts
MASI,Masimo Corporation Common Stock,$283.54,-6.08,-2.099%,15657557699.00,United States,2007,526104,Health Care,Medical/Dental Instruments
MCHP,Microchip Technology Incorporated Common Stock,$74.09,-0.34,-0.457%,40607272539.00,United States,1993,2594287,Technology,Semiconductors
MDB,MongoDB Inc. Class A Common Stock,$521.29,16.67,3.303%,34497982270.00,United States,2017,503846,Technology,Retail: Computer Software & Peripheral Equipment
MDLZ,Mondelez International Inc. Class A Common Stock,$60.74,-0.21,-0.345%,84903431488.00,United States,,5074297,Consumer Non-Durables,Meat/Poultry/Fish
MELI,MercadoLibre Inc. Common Stock,$1481.02,-35.85,-2.363%,73623947883.00,Argentina,2007,424441,Consumer Services,Catalog/Specialty Distribution
MIDD,Middleby Corporation (The) Common Stock,$182.44,2.25,1.249%,10148479139.00,United States,,432378,Capital Goods,Diversified Manufacture
MKTX,MarketAxess Holdings Inc. Common Stock,$408.67,3.61,0.891%,15540282808.00,United States,2004,259352,Finance,Investment Bankers/Brokers/Service
MNDY,monday.com Ltd. Ordinary Shares,$371.83,0.42,0.113%,16407125172.00,Israel,2021,173525,,
MNST,Monster Beverage Corporation,$85.00,0.10,0.118%,44955293935.00,United States,,2701346,Consumer Non-Durables,Beverages (Production/Distribution)
MORN,Morningstar Inc. Common Stock,$316.75,-4.23,-1.318%,13641336364.00,United States,2005,77201,Technology,Advertising
MPWR,Monolithic Power Systems Inc. Common Stock,$525.46,-24.25,-4.411%,36193666934.00,United States,2004,626742,Technology,Semiconductors
MQ,Marqeta Inc. Class A Common Stock,$30.60,-0.59,-1.892%,16505597374.00,United States,2021,3938684,Technology,EDP Services
MRNA,Moderna Inc. Common Stock,$345.21,-2.71,-0.779%,139342743366.00,United States,2018,4453870,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MRVL,Marvell Technology Inc. Common Stock,$68.50,0.02,0.029%,56418752681.00,Bermuda,2000,5435771,Technology,Semiconductors
MTCH,Match Group Inc. Common Stock,$150.78,-5.28,-3.383%,42571952714.00,United States,,3397506,,
MU,Micron Technology Inc. Common Stock,$69.10,-0.48,-0.69%,77296900296.00,United States,,11431561,Technology,Semiconductors
NDAQ,Nasdaq Inc. Common Stock,$209.87,2.86,1.382%,35091070321.00,United States,,675943,Finance,Investment Bankers/Brokers/Service
NDSN,Nordson Corporation Common Stock,$254.21,3.16,1.259%,14773300518.00,United States,,203354,Capital Goods,Industrial Machinery/Components
NICE,NICE Ltd American Depositary Shares,$283.02,2.72,0.97%,17864630232.00,Israel,,59830,Technology,Computer Software: Prepackaged Software
NLOK,NortonLifeLock Inc. Common Stock,$25.45,-0.53,-2.04%,14805184483.00,United States,,2736483,Technology,Computer Software: Prepackaged Software
NTAP,NetApp Inc. Common Stock,$89.30,-0.41,-0.457%,19970107563.00,United States,1995,1118699,Technology,Electronic Components
NTRA,Natera Inc. Common Stock,$114.57,-2.63,-2.244%,10744727017.00,United States,2015,682546,Health Care,Medical Specialities
NTRS,Northern Trust Corporation Common Stock,$123.04,0.30,0.244%,25550639831.00,United States,,743280,Finance,Trusts Except Educational Religious and Charitable
NUAN,Nuance Communications Inc. Common Stock,$55.05,-0.05,-0.091%,17314423273.00,United States,,3899093,Technology,Computer Software: Prepackaged Software
NVAX,Novavax Inc. Common Stock,$148.83,-1.79,-1.188%,11085478426.00,United States,,3004453,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NVCR,NovoCure Limited Ordinary Shares,$102.57,0.83,0.816%,10631162128.00,Jersey,2015,699515,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NVEI,Nuvei Corporation Subordinate Voting Shares,$120.42,-5.56,-4.413%,16751334061.00,Canada,,236332,,
NWS,News Corporation Class B Common Stock,$22.56,-0.25,-1.096%,13370320172.00,United States,,944840,Consumer Services,Broadcasting
NWSA,News Corporation Class A Common Stock,$22.90,-0.25,-1.08%,13571823224.00,United States,,3278436,Consumer Services,Broadcasting
NXPI,NXP Semiconductors N.V. Common Stock,$200.86,0.96,0.48%,53254991997.00,Netherlands,2010,1604547,Technology,Semiconductors
ODFL,Old Dominion Freight Line Inc. Common Stock,$341.35,6.33,1.889%,88946437894.00,United States,1991,523250,Transportation,Trucking Freight/Courier Services
OKTA,Okta Inc. Class A Common Stock,$247.18,2.55,1.042%,38229547443.00,United States,2017,1043933,Technology,EDP Services
OLPX,Olaplex Holdings Inc. Common Stock,$27.91,1.73,6.608%,18089158758.00,United States,2021,1570135,Miscellaneous,Diversified Commercial Services
ON,ON Semiconductor Corporation Common Stock,$48.07,0.97,2.059%,20695683383.00,United States,,10014573,Technology,Semiconductors
OPEN,Opendoor Technologies Inc Common Stock,$23.71,-0.54,-2.227%,14336041856.00,United States,,10419904,Finance,Real Estate
ORLY,O'Reilly Automotive Inc. Common Stock,$622.32,-2.48,-0.397%,42308185607.00,United States,1993,552268,Consumer Services,Other Specialty Stores
OTEX,Open Text Corporation Common Shares,$50.35,0.01,0.02%,13682832932.00,Canada,1996,533228,,
PANW,Palo Alto Networks Inc. Common Stock,$509.09,10.70,2.147%,49588478067.00,United States,,709176,Technology,EDP Services
PAYX,Paychex Inc. Common Stock,$123.28,0.58,0.473%,44453626057.00,United States,1983,1280278,Miscellaneous,Business Services
PCAR,PACCAR Inc. Common Stock,$89.62,0.22,0.246%,31113679391.00,United States,,1709713,Capital Goods,Auto Manufacturing
PCTY,Paylocity Holding Corporation Common Stock,$305.14,3.56,1.18%,16788954455.00,United States,2014,208702,Technology,Computer Software: Prepackaged Software
PDD,Pinduoduo Inc. American Depositary Shares,$88.92,-3.53,-3.818%,111442440185.00,China,2018,4523752,Miscellaneous,Business Services
PENN,Penn National Gaming Inc. Common Stock,$71.60,-1.40,-1.918%,12108178266.00,United States,1994,3832631,Consumer Services,Movies/Entertainment
PFG,Principal Financial Group Inc Common Stock,$67.09,0.18,0.269%,17852649000.00,United States,2001,1384848,Finance,Specialty Insurers
PLTK,Playtika Holding Corp. Common Stock,$28.28,-0.73,-2.516%,11584455685.00,Israel,2021,427846,Technology,EDP Services
PLUG,Plug Power Inc. Common Stock,$38.27,1.16,3.126%,21980582995.00,United States,1999,31440253,Consumer Durables,Electrical Products
PODD,Insulet Corporation Common Stock,$310.02,0.03,0.01%,21352276867.00,United States,2007,439525,Health Care,Medical/Dental Instruments
POOL,Pool Corporation Common Stock,$515.16,8.52,1.682%,20658341522.00,United States,1995,206878,Consumer Non-Durables,Recreational Products/Toys
PPD,PPD Inc. Common Stock,$47.17,-0.02,-0.042%,16571543833.00,United States,2020,2592903,Health Care,Biotechnology: Pharmaceutical Preparations
PTC,PTC Inc. Common Stock,$127.35,0.48,0.378%,14948570065.00,United States,,965667,Technology,Computer Software: Prepackaged Software
PTON,Peloton Interactive Inc. Class A Common Stock,$91.44,1.13,1.251%,27686124744.00,United States,2019,6351552,Consumer Services,Other Consumer Services
QCOM,QUALCOMM Incorporated Common Stock,$133.04,-0.65,-0.486%,150069120000.00,United States,1991,5244812,Technology,Computer peripheral equipment
QRVO,Qorvo Inc. Common Stock,$168.23,-0.70,-0.414%,18697338919.00,United States,,997838,Capital Goods,Industrial Machinery/Components
REG,Regency Centers Corporation Common Stock,$70.41,-0.47,-0.663%,11960809118.00,United States,1993,1658136,Consumer Services,Real Estate Investment Trusts
REGN,Regeneron Pharmaceuticals Inc. Common Stock,$639.94,14.75,2.359%,68445025237.00,United States,1991,860408,Health Care,Biotechnology: Pharmaceutical Preparations
RGEN,Repligen Corporation Common Stock,$290.50,0.48,0.166%,15970870500.00,United States,1986,564076,Health Care,Medical/Dental Instruments
ROKU,Roku Inc. Class A Common Stock,$304.90,-15.66,-4.885%,40689333994.00,United States,2017,3646079,Consumer Services,Television Services
ROST,Ross Stores Inc. Common Stock,$113.20,0.23,0.204%,40227426785.00,United States,1985,1927280,Consumer Services,Clothing/Shoe/Accessory Stores
RPRX,Royalty Pharma plc Class A Ordinary Shares ,$39.53,1.33,3.482%,16879542753.00,United States,2020,2791166,Health Care,Biotechnology: Pharmaceutical Preparations
RUN,Sunrun Inc. Common Stock,$57.68,1.66,2.963%,11878210306.00,United States,2015,5268232,Capital Goods,Building Products
RYAAY,Ryanair Holdings plc American Depositary Shares,$113.51,2.84,2.566%,25624883068.00,Ireland,1997,284508,Transportation,Air Freight/Delivery Services
SBAC,SBA Communications Corporation Class A Common Stock,$345.33,-7.69,-2.178%,37832093579.00,United States,1999,705886,Consumer Services,Real Estate Investment Trusts
SBNY,Signature Bank Common Stock,$297.82,-2.98,-0.991%,18057597060.00,United States,2004,689698,Finance,Major Banks
SBUX,Starbucks Corporation Common Stock,$106.07,-7.13,-6.299%,125067137000.00,United States,1992,27401469,,
SEDG,SolarEdge Technologies Inc. Common Stock,$354.68,3.10,0.882%,18539221492.00,Israel,2015,616633,Technology,Semiconductors
SGEN,Seagen Inc. Common Stock,$176.33,-1.46,-0.821%,32080510385.00,United States,2001,1229263,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
SIRI,Sirius XM Holdings Inc. Common Stock,$6.09,0.01,0.164%,24667154168.00,United States,,14769753,Consumer Services,Broadcasting
SIVB,SVB Financial Group Common Stock,$717.40,6.91,0.973%,42095226304.00,United States,,407361,Finance,Major Banks
SNPS,Synopsys Inc. Common Stock,$333.18,6.40,1.959%,50810867578.00,United States,1992,578544,Technology,EDP Services
